coordinate,true_pmf,dense_bridge_pmf,sparse_bridge_pmf
-2.95,4.35,,2.52
-2.85,4.06,,
-2.75,3.78,5.16818879192,4.56
-2.65,3.51,5.31504161136,4.01370563888
-2.55,3.25,4.78227864286,4.73370563888
-2.45,3,4.23714633856,3.88678665594
-2.35,2.76,4.023999158,3.64465193851
-2.25,2.53,4.14283710118,3.53464830926
-2.15,2.31,3.97737199307,3.39328075274
-2.05,2.1,3.64538686933,3.03719807741
-1.95,1.9,3.77963258306,2.77250552319
-1.85,1.71,3.19441501264,2.71859563502
-1.75,1.53,0,2.49109579778
-1.65,1.36,3.0491028118,2.16956207861
-1.55,1.2,2.08882220862,2.09502718672
-1.45,1.05,2.25354284086,1.99286561495
-1.35,0.91,2.54883586016,1.99880261834
-1.25,0.78,2.3811974782,1.56426772645
-1.15,0.66,2.14069273052,1.80824053077
-1.05,0.55,2.14188747515,1.82685281944
-0.95,0.45,1.95985955597,1.32
-0.85,0.36,1.4468386105,
-0.75,0.28,1.7713623382,
-0.65,0.21,1.83661164383,
-0.55,0.15,1.72377824897,
-0.45,0.1,1.78189457255,
-0.35,0.06,1.45687145107,
-0.25,0.03,1.60685535759,
-0.15,0.01,1.2789989254,
-0.05,0,1.61350215535,
0.05,2.66496893997e-16,1.5340413313,
0.15,0.01,1.56778857094,
0.25,0.03,1.27289916825,
0.35,0.06,1.26376244782,
0.45,0.1,1.53765319223,
0.55,0.15,1.79728899263,
0.65,0.21,1.66603289869,
0.75,0.28,1.68464862673,
0.85,0.36,1.37739788031,0
0.95,0.45,1.7118502719,1.32
1.05,0.55,2.05816208664,2.52
1.15,0.66,2.15748447534,1.99056208757
1.25,0.78,2.39439045024,1.99505064254
1.35,0.91,2.22374328245,1.9342640972
1.45,1.05,2.63115139179,1.96111691664
1.55,1.2,2.72414300806,1.90781564463
1.65,1.36,2.76233166295,2.23715536974
1.75,1.53,3.13017964057,2.59018670042
1.85,1.71,3.24728500988,2.70624979919
1.95,1.9,3.34172491514,2.87657488308
2.05,2.1,3.88379789277,3.03719807741
2.15,2.31,3.84384060045,3.18487948316
2.25,2.53,4.14283710118,3.58970808645
2.35,2.76,4.37420158743,3.37135860351
2.45,3,4.62013859081,4.23509335021
2.55,3.25,4.33029351912,4.04055845832
2.65,3.51,5.31504161136,4.70685281944
2.75,3.78,,
2.85,4.06,,3.6
2.95,4.35,,
